name,subtitle,mainCategory,subCategory,price,deposit,images,description,accessories,specs,stock,rentedCount,status,stores
"DJI Action 2 运动相机","磁吸设计创新","摄影","运动相机",30,450,"https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=800","DJI Action 2，磁吸模块化设计，4K 120fps视频拍摄。","64G SD卡、充电器、磁吸挂件、防水壳","[{""label"":""型号"",""value"":""DJI Action 2""},{""label"":""视频"",""value"":""4K 120fps""}]",6,187,"valid","伦敦;南安普顿;爱丁堡"
"爱普生投影仪 商务版","会议演示专用","摄影","投影仪",40,400,"https://images.unsplash.com/photo-1593784991095-a205069470b6?w=800","爱普生商务投影仪，3LCD技术，色彩还原准确。","投影仪、遥控器、VGA线、HDMI线","[{""label"":""品牌"",""value"":""Epson""},{""label"":""亮度"",""value"":""3500流明""}]",5,92,"valid","伦敦;曼彻斯特"
"Sony FE 24-70mm F2.8 GM II 镜头","专业变焦镜头","摄影","配件",120,2000,"https://images.unsplash.com/photo-1606489584937-e6c9f03f8cd9?w=800","索尼GM大师镜头，F2.8恒定光圈。","镜头、镜头盖、遮光罩、收纳袋","[{""label"":""品牌"",""value"":""Sony""},{""label"":""焦距"",""value"":""24-70mm""},{""label"":""光圈"",""value"":""F2.8""}]",2,78,"valid","伦敦;南安普顿"
"Manfrotto 055 碳纤维三脚架","专业稳定支撑","摄影","配件",80,600,"https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=800","曼富图碳纤维三脚架，轻便稳固。","三脚架、云台、收纳袋","[{""label"":""品牌"",""value"":""Manfrotto""},{""label"":""材质"",""value"":""碳纤维""},{""label"":""承重"",""value"":""9kg""}]",4,145,"valid","伦敦;南安普顿;曼彻斯特"
"Godox SL-60W LED 补光灯","专业影棚灯光","摄影","配件",90,500,"https://images.unsplash.com/photo-1543946207-39bd91e70ca7?w=800","神牛LED补光灯，60W功率，色温可调。","补光灯、柔光罩、反光板、灯架","[{""label"":""品牌"",""value"":""Godox""},{""label"":""功率"",""value"":""60W""}]",3,67,"valid","伦敦;南安普顿"
"防潮野餐垫 加厚版","户外野餐必备","户外","野餐垫",12,30,"https://images.unsplash.com/photo-1464037866556-6812c9d1c72e?w=800","加厚防潮野餐垫，防水透气，易于清洁。","野餐垫、收纳袋","[{""label"":""尺寸"",""value"":""200x200cm""},{""label"":""材质"",""value"":""牛津布""}]",15,234,"valid","伦敦;南安普顿;曼彻斯特;格拉斯哥;爱丁堡"
"超大野餐垫 家庭款","可容纳8-10人","户外","野餐垫",18,40,"https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800","超大尺寸野餐垫，适合家庭和团体野餐使用。","野餐垫、收纳袋、固定钉","[{""label"":""尺寸"",""value"":""300x300cm""},{""label"":""容量"",""value"":""8-10人""}]",8,178,"valid","伦敦;南安普顿;格拉斯哥"
"自动充气帐篷 4人款","户外露营首选","户外","帐篷",60,200,"https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=800","自动充气，快速搭建，防水防风。","帐篷、地钉、防风绳、防潮垫、收纳袋","[{""label"":""容量"",""value"":""4人""},{""label"":""防水"",""value"":""3000mm""}]",6,89,"valid","南安普顿;格拉斯哥;爱丁堡"
"双层防雨帐篷 6人款","大家庭露营","户外","帐篷",75,250,"https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=800","6人大帐篷，双层防雨设计，空间宽敞。","帐篷、地钉、防风绳、防潮垫、收纳袋","[{""label"":""容量"",""value"":""6人""},{""label"":""防水"",""value"":""5000mm""}]",4,56,"valid","伦敦;南安普顿"
"户外折叠椅 便携款","轻便舒适","户外","折叠椅",15,40,"https://images.unsplash.com/photo-1503602642458-232111445657?w=800","轻便折叠椅，易于携带，适合户外活动。","折叠椅、收纳袋","[{""label"":""材质"",""value"":""铝合金""},{""label"":""承重"",""value"":""150kg""}]",20,312,"valid","伦敦;南安普顿;曼彻斯特;格拉斯哥;爱丁堡"
"钓鱼椅 舒适型","钓鱼休闲两用","户外","折叠椅",20,50,"https://images.unsplash.com/photo-1551632811-561732d1e306?w=800","舒适钓鱼椅，带扶手和置物袋。","钓鱼椅、收纳袋","[{""label"":""材质"",""value"":""钢管+牛津布""},{""label"":""承重"",""value"":""120kg""}]",12,167,"valid","伦敦;南安普顿;格拉斯哥"

